type,dataset,slot_time,instance_number,month,energy_instance_reference,energy_production_function,exec_time,status,obj_value,obj_bound
HEURISTIC_MEDIAN_24_LSD,B,96,1,Dec,2,quadratic,0:01:54.628560,OPTIMAL,125759276304,0
HEURISTIC_MEDIAN_24_LSD,B,96,1,Jul,2,constant,0:01:52.387751,OPTIMAL,125733165605,0
HEURISTIC_MEDIAN_24_LSD,B,96,1,Jul,2,exponential,0:02:06.497955,OPTIMAL,125672904775,0
HEURISTIC_MEDIAN_24_LSD,B,96,1,Jul,2,linear,0:01:58.654963,OPTIMAL,125723298093,0
HEURISTIC_MEDIAN_24_LSD,B,96,1,Jul,2,quadratic,0:02:01.732508,OPTIMAL,125792136527,0
HEURISTIC_MEDIAN_24_LSD,B,96,1,Sep,2,constant,0:01:56.127045,OPTIMAL,125828763146,0
HEURISTIC_MEDIAN_24_LSD,B,96,1,Sep,2,exponential,0:04:46.163400,OPTIMAL,125510539847,0
HEURISTIC_MEDIAN_24_LSD,B,96,1,Sep,2,linear,0:02:05.481094,OPTIMAL,125974581990,0
HEURISTIC_MEDIAN_24_LSD,B,96,1,Sep,2,quadratic,0:02:03.485057,OPTIMAL,125848721663,0
HEURISTIC_MEDIAN_24_LSD,B,96,2,Dec,2,constant,0:02:06.943236,OPTIMAL,125756742176,0
HEURISTIC_MEDIAN_24_LSD,B,96,2,Dec,2,exponential,0:02:20.417538,OPTIMAL,125791746255,0
HEURISTIC_MEDIAN_24_LSD,B,96,2,Dec,2,linear,0:04:20.391659,OPTIMAL,125696053220,0
HEURISTIC_MEDIAN_24_LSD,B,96,2,Dec,2,quadratic,0:04:37.500439,OPTIMAL,125713893775,0
HEURISTIC_MEDIAN_24_LSD,B,96,2,Jul,2,constant,0:03:13.607216,OPTIMAL,125815214915,0
HEURISTIC_MEDIAN_24_LSD,B,96,2,Jul,2,exponential,0:02:18.563131,OPTIMAL,125808949125,0
HEURISTIC_MEDIAN_24_LSD,B,96,2,Jul,2,linear,0:01:55.897204,OPTIMAL,125752640189,0
HEURISTIC_MEDIAN_24_LSD,B,96,2,Jul,2,quadratic,0:02:05.286966,OPTIMAL,125787106685,0
HEURISTIC_MEDIAN_24_LSD,B,96,2,Sep,2,constant,0:01:56.158368,OPTIMAL,125783745473,0
HEURISTIC_MEDIAN_24_LSD,B,96,2,Sep,2,exponential,0:02:05.720550,OPTIMAL,125856247600,0
HEURISTIC_MEDIAN_24_LSD,B,96,2,Sep,2,linear,0:04:29.958050,OPTIMAL,125695586201,0
HEURISTIC_MEDIAN_24_LSD,B,96,2,Sep,2,quadratic,0:02:06.716447,OPTIMAL,125799246381,0
HEURISTIC_MEDIAN_24_LSD,B,96,3,Dec,2,constant,0:02:24.703074,OPTIMAL,125165805421,0
HEURISTIC_MEDIAN_24_LSD,B,96,3,Dec,2,exponential,0:01:40.639842,OPTIMAL,125466913343,0
HEURISTIC_MEDIAN_24_LSD,B,96,3,Dec,2,linear,0:01:38.319808,OPTIMAL,125411862972,0
HEURISTIC_MEDIAN_24_LSD,B,96,3,Dec,2,quadratic,0:02:27.350315,OPTIMAL,125175954876,0
HEURISTIC_MEDIAN_24_LSD,B,96,3,Jul,2,constant,0:02:22.302922,OPTIMAL,125135433196,0
HEURISTIC_MEDIAN_24_LSD,B,96,3,Jul,2,exponential,0:02:39.846622,OPTIMAL,125315200192,0
HEURISTIC_MEDIAN_24_LSD,B,96,3,Jul,2,linear,0:02:17.170225,OPTIMAL,125136932765,0
HEURISTIC_MEDIAN_24_LSD,B,96,3,Jul,2,quadratic,0:02:19.819126,OPTIMAL,125165945864,0
HEURISTIC_MEDIAN_24_LSD,B,96,3,Sep,2,constant,0:01:48.648807,OPTIMAL,125337349377,0
HEURISTIC_MEDIAN_24_LSD,B,96,3,Sep,2,exponential,0:01:38.948027,OPTIMAL,125322557560,0
HEURISTIC_MEDIAN_24_LSD,B,96,3,Sep,2,linear,0:01:51.420790,OPTIMAL,125343010844,0
HEURISTIC_MEDIAN_24_LSD,B,96,3,Sep,2,quadratic,0:01:43.576261,OPTIMAL,125317408604,0
HEURISTIC_MEDIAN_24_LSD,B,96,4,Dec,2,constant,0:01:55.629806,OPTIMAL,125146837560,0
HEURISTIC_MEDIAN_24_LSD,B,96,4,Dec,2,exponential,0:01:41.583550,OPTIMAL,125146876029,0
HEURISTIC_MEDIAN_24_LSD,B,96,4,Dec,2,linear,0:02:13.430336,OPTIMAL,124945955664,0
HEURISTIC_MEDIAN_24_LSD,B,96,4,Dec,2,quadratic,0:01:48.274289,OPTIMAL,125159198625,0
HEURISTIC_MEDIAN_24_LSD,B,96,4,Jul,2,constant,0:01:52.397132,OPTIMAL,125244573284,0
HEURISTIC_MEDIAN_24_LSD,B,96,4,Jul,2,exponential,0:04:58.005150,OPTIMAL,125024093058,0
